,Post_Content,Date,Comments_Shares,All_Responses,Brand
796,"Little Evan loved the limited edition Coco Pops Croc Prints so much that colleagues at our Halifax store were determined to help when they heard how distraught he was when his mum found they’d been discontinued and she couldn’t get them for him.
Evan has autism and sensory problems that mean he likes routine and is reluctant to try anything new. So there were smiles all round when Kellogg’s responded to an appeal from the store's community champion and managed to track down the last remaining boxes for six-year-old Evan. Read his story here: http://bit.ly/2uNQ84V","August 20, 2017",281 Comments279 Shares,7.2K,asda
797,"Little Evan loved the limited edition Coco Pops Croc Prints so much that colleagues at our Halifax store were determined to help when they heard how distraught he was when his mum found they’d been discontinued and she couldn’t get them for him.
Evan has autism and sensory problems that mean he likes routine and is reluctant to try anything new. So there were smiles all round when Kellogg’s responded to an appeal from the store's community champion and managed to track down the last remaining boxes for six-year-old Evan. Read his story here: http://bit.ly/2uNQ84V","August 20, 2017",281 Comments279 Shares,7.2K,asda
798,"""I love Asda school uniforms. They wash well and keep their shape. Excellent value for money. Wouldn't shop anywhere else for school uniform"" – thanks to mum Julie for her fantastic comment!
Tell us why you love George school uniform for a chance to win £50 to spend on the range – leave a comment below and enter here: http://bit.ly/2uOzNgf T&Cs apply, ends 21st Aug. Read our Schoolwear Buyer Sarah's blog and see what other Facebook fans have been saying here: http://bit.ly/2uOWwJ5","August 19, 2017",1K Comments292 Shares,2.5K,asda
799,"""I love Asda school uniforms. They wash well and keep their shape. Excellent value for money. Wouldn't shop anywhere else for school uniform"" – thanks to mum Julie for her fantastic comment!
Tell us why you love George school uniform for a chance to win £50 to spend on the range – leave a comment below and enter here: http://bit.ly/2uOzNgf T&Cs apply, ends 21st Aug. Read our Schoolwear Buyer Sarah's blog and see what other Facebook fans have been saying here: http://bit.ly/2uOWwJ5","August 19, 2017",1K Comments292 Shares,2.5K,asda
800,"It’s not just LADbible who are talking about our flavoured fruits!
Customers have been saying things like: ""Dreams have come true!!"", ""Grapes+Candy floss= literally my two fave things"", ""So yummy"", ""I'm in love 😍 "" Find out more here: http://bit.ly/2vIm3Rl","August 18, 2017",2.8K Comments3 Shares,4.4K,asda
801,"It’s not just LADbible who are talking about our flavoured fruits!
Customers have been saying things like: ""Dreams have come true!!"", ""Grapes+Candy floss= literally my two fave things"", ""So yummy"", ""I'm in love 😍 "" Find out more here: http://bit.ly/2vIm3Rl","August 18, 2017",2.8K Comments3 Shares,4.4K,asda
802,"Pack the perfect portable picnic! Whatever the weather this Summer enjoy 2 for £3 across all picnic snacks #justaddasda
Shop now: http://bit.ly/2uCUdc4 Selected stores. Subject to availability.","August 17, 2017",71 Comments45 Shares261K Views,829,asda
803,"Pack the perfect portable picnic! Whatever the weather this Summer enjoy 2 for £3 across all picnic snacks #justaddasda
Shop now: http://bit.ly/2uCUdc4 Selected stores. Subject to availability.","August 17, 2017",71 Comments45 Shares261K Views,829,asda
804,"Don't listen to the wine snobs ... good wine often comes with screw caps or even in a box!
In his latest Thirsty Thursday blog our wine buyer Ed explains why boxed wines are making a comeback, corks aren't being used as much, and the reasons we have 75cl wine bottles: http://bit.ly/2vLF1qa","August 17, 2017",209 Comments141 Shares,2.4K,asda
805,"Don't listen to the wine snobs ... good wine often comes with screw caps or even in a box!
In his latest Thirsty Thursday blog our wine buyer Ed explains why boxed wines are making a comeback, corks aren't being used as much, and the reasons we have 75cl wine bottles: http://bit.ly/2vLF1qa","August 17, 2017",209 Comments141 Shares,2.4K,asda
