Date,Year,Brand,Post_Content,All_Responses,Comments,Shares,Views
2018-02-07 00:00:00,2018,Sainsburys,"There’s lots to celebrate in February – find flippin’ good pancake ideas, blood orange recipes and treats for your loved ones in the new issue of Sainsbury’s magazine OUT NOW http://bit.ly/2nwLkv4",97,21,6,20000
2018-02-05 00:00:00,2018,Sainsburys,Blood oranges have a very short season so make the most of them with Sainsbury’s magazine’s punchy Vietnamese-style crispy duck salad. Get the recipe: http://bit.ly/2nvSAY3,125,35,16,0
2018-02-02 00:00:00,2018,Sainsburys,It’s like cauliflower cheese but in a SARNIE 😛😛😛 And it’s gluten free. Here’s the full recipe http://bit.ly/2nwismC,2400,1600,1314,600000
2018-02-02 00:00:00,2018,Sainsburys,"Valentine's Day, sorted: http://bit.ly/2neT0BM",5300,1500,496,0
2018-01-31 00:00:00,2018,Sainsburys,Venison sausages have a robust flavour that work well in this sweet and sticky squash traybake. Get the Sainsbury’s magazine recipe: http://bit.ly/2BvLQNI,182,41,14,0
2018-01-29 00:00:00,2018,Sainsburys,"If you’ve never made a savoury crumble before, this magnificent ratatouille and mozzarella dish will convert you. A serving is also three of your five-a-day! Get the Sainsbury’s magazine recipe: http://bit.ly/2BwiXkA",322,102,57,0
2018-01-26 00:00:00,2018,Sainsburys,"All of your fave things to slather on toast, from Nutella to peanut butter, come together in Sainsbury’s magazine’s scrummy cookie recipe: http://bit.ly/2Be49ak",245,96,79,55000
2018-01-24 00:00:00,2018,Sainsburys,Pearl barley makes this beef one-pot with zesty gremolata super comforting. Get the Sainsbury’s magazine recipe: http://bit.ly/2n6dKvo,82,17,12,0
2018-01-21 00:00:00,2018,Sainsburys,Here's to your new favourite recipe 😍,223,71,17,157000
2018-01-19 00:00:00,2018,Sainsburys,January blues aren’t so bad when Sainsbury’s magazine’s toffee apple pie is involved. Get the recipe: http://bit.ly/2mt5ZQ8,694,144,185,75000
2018-01-19 00:00:00,2018,Sainsburys,Spend more time in bed this weekend and make barista style coffee at home: http://bit.ly/2mw5J2S,130,8,6,0
2018-01-18 00:00:00,2018,Sainsburys,Sooo satisfying 👀,1300,1200,256,398000
2018-01-17 00:00:00,2018,Sainsburys,Dive into Sainsbury’s magazine’s hearty bowl of poached chicken and giant couscous broth. Get the recipe: http://bit.ly/2mvtTdK,91,42,12,0
